iter	Passed	Remaining
0	76	76384
1	148	74231
2	252	83957
3	334	83303
4	423	84368
5	525	87059
6	651	92476
7	749	92917
8	841	92703
9	919	91057
10	1006	90461
11	1098	90412
12	1205	91537
13	1307	92095
14	1400	91946
15	1496	92062
16	1597	92375
17	1692	92353
18	1775	91693
19	1859	91104
20	1960	91395
21	2057	91475
22	2157	91626
23	2253	91629
24	2346	91520
25	2443	91523
26	2532	91251
27	2610	90618
28	2686	89940
29	2765	89418
30	2843	88876
31	2930	88659
32	3029	88761
33	3103	88189
34	3190	87955
35	3277	87763
36	3355	87337
37	3452	87408
38	3541	87260
39	3617	86827
40	3700	86555
41	3777	86167
42	3855	85799
43	3942	85666
44	4038	85702
45	4121	85476
46	4204	85251
47	4299	85273
48	4378	84978
49	4473	84992
50	4555	84765
51	4648	84747
52	4721	84367
53	4814	84343
54	4898	84166
55	4980	83950
56	5065	83802
57	5151	83660
58	5231	83437
59	5323	83408
60	5401	83153
61	5486	83004
62	5578	82965
63	5665	82858
64	5760	82867
65	5855	82866
66	5942	82758
67	6023	82555
68	6109	82430
69	6189	82236
70	6268	82016
71	6353	81895
72	6427	81624
73	6486	81168
74	6565	80974
75	6632	80633
76	6710	80444
77	6787	80235
78	6865	80035
79	6945	79875
80	7020	79650
81	7093	79410
82	7175	79275
83	7248	79037
84	7322	78822
85	7396	78605
86	7473	78429
87	7561	78365
88	7647	78280
89	7736	78225
90	7816	78080
91	7892	77895
92	7967	77700
93	8035	77448
94	8105	77217
95	8178	77017
96	8251	76811
97	8328	76655
98	8406	76504
99	8475	76278
100	8545	76059
101	8626	75949
102	8711	75862
103	8802	75839
104	8900	75864
105	8967	75632
106	9050	75529
107	9135	75455
108	9211	75296
109	9273	75027
110	9338	74789
111	9410	74615
112	9488	74482
113	9566	74351
114	9641	74200
115	9709	73993
116	9778	73794
117	9845	73593
118	9903	73316
119	9976	73160
120	10043	72962
121	10107	72741
122	10186	72634
123	10283	72645
124	10354	72483
125	10421	72287
126	10485	72079
127	10562	71956
128	10630	71778
129	10695	71575
130	10761	71387
131	10836	71256
132	10906	71097
133	10968	70887
134	11040	70740
135	11110	70587
136	11184	70451
137	11254	70300
138	11322	70136
139	11395	70000
140	11456	69797
141	11541	69736
142	11679	69996
143	11783	70047
144	11963	70545
145	12113	70857
146	12224	70933
147	12321	70931
148	12406	70861
149	12488	70768
150	12567	70659
151	12662	70641
152	12868	71238
153	12984	71330
154	13105	71444
155	13207	71457
156	13296	71394
157	13379	71299
158	13463	71215
159	13543	71102
160	13632	71040
161	13714	70942
162	13810	70918
163	13902	70867
164	13995	70827
165	14079	70735
166	14181	70739
167	14269	70666
168	14352	70572
169	14443	70516
170	14517	70379
171	14604	70307
172	14695	70247
173	14782	70173
174	14860	70057
175	14938	69941
176	15015	69815
177	15091	69693
178	15170	69581
179	15243	69442
180	15322	69334
181	15408	69255
182	15501	69208
183	15586	69122
184	15676	69063
185	15757	68961
186	15847	68898
187	15929	68800
188	16010	68700
189	16076	68536
190	16153	68420
191	16234	68318
192	16314	68217
193	16401	68140
194	16484	68051
195	16570	67970
196	16653	67883
197	16719	67722
198	16791	67589
199	16858	67434
200	16933	67313
201	17014	67216
202	17083	67069
203	17157	66949
204	17239	66856
205	17318	66750
206	17395	66640
207	17470	66522
208	17541	66390
209	17609	66246
210	17677	66102
211	17754	65991
212	17827	65871
213	17892	65716
214	17968	65606
215	18038	65474
216	18112	65355
217	18190	65253
218	18284	65204
219	18397	65228
220	18509	65242
221	18608	65214
222	18710	65194
223	18791	65097
224	18872	65006
225	18955	64917
226	19058	64898
227	19161	64879
228	19252	64819
229	19335	64730
230	19419	64647
231	19497	64542
232	19574	64435
233	19647	64314
234	19714	64177
235	19778	64029
236	19856	63927
237	20008	64061
238	20093	63980
239	20172	63881
240	20251	63779
241	20314	63630
242	20384	63503
243	20458	63387
244	20531	63270
245	20600	63141
246	20667	63008
247	20740	62891
248	20812	62771
249	20880	62642
250	20951	62521
251	21030	62422
252	21108	62325
253	21181	62210
254	21265	62127
255	21334	62004
256	21407	61889
257	21472	61752
258	21539	61623
259	21613	61515
260	21680	61387
261	21750	61267
262	21826	61163
263	21906	61072
264	21984	60976
265	22075	60916
266	22169	60860
267	22256	60790
268	22359	60760
269	22455	60712
270	22548	60657
271	22637	60589
272	22719	60503
273	22814	60451
274	22913	60409
275	23016	60377
276	23109	60317
277	23196	60243
278	23287	60180
279	23374	60105
280	23464	60039
281	23547	59954
282	23638	59890
283	23727	59820
284	23825	59773
285	23926	59733
286	24085	59836
287	24194	59814
288	24347	59900
289	24440	59837
290	24525	59755
291	24623	59703
292	24708	59621
293	24795	59541
294	24882	59465
295	24965	59378
296	25047	59286
297	25127	59192
298	25207	59098
299	25292	59015
300	25372	58922
301	25449	58821
302	25530	58727
303	25609	58631
304	25683	58524
305	25758	58419
306	25834	58315
307	25910	58214
308	25991	58123
309	26078	58045
310	26153	57940
311	26264	57916
312	26359	57856
313	26437	57758
314	26509	57648
315	26585	57546
316	26662	57446
317	26735	57338
318	26810	57233
319	26877	57114
320	26950	57006
321	27027	56907
322	27102	56805
323	27218	56789
324	27317	56736
325	27421	56692
326	27510	56618
327	27592	56531
328	27684	56463
329	27763	56368
330	27848	56286
331	27951	56240
332	28060	56204
333	28163	56158
334	28263	56104
335	28349	56024
336	28427	55926
337	28502	55823
338	28579	55726
339	28656	55626
340	28722	55508
341	28790	55391
342	28855	55271
343	28925	55159
344	28998	55054
345	29067	54942
346	29143	54843
347	29219	54744
348	29295	54646
349	29372	54548
350	29452	54458
351	29521	54346
352	29593	54241
353	29674	54151
354	29749	54052
355	29839	53980
356	29919	53889
357	29991	53782
358	30064	53680
359	30153	53606
360	30238	53524
361	30323	53442
362	30401	53348
363	30498	53288
364	30589	53217
365	30736	53242
366	30828	53173
367	30905	53076
368	30993	53000
369	31086	52931
370	31162	52833
371	31234	52728
372	31317	52644
373	31396	52551
374	31466	52444
375	31548	52356
376	31629	52268
377	31699	52162
378	31771	52058
379	31854	51973
380	31927	51871
381	31994	51761
382	32088	51693
383	32168	51603
384	32247	51511
385	32323	51416
386	32415	51346
387	32503	51268
388	32578	51170
389	32667	51095
390	32757	51021
391	32837	50931
392	32924	50853
393	33014	50778
394	33102	50700
395	33192	50627
396	33274	50540
397	33348	50442
398	33441	50371
399	33519	50279
400	33593	50181
401	33679	50099
402	33771	50029
403	33839	49921
404	33927	49843
405	34014	49764
406	34145	49750
407	34251	49698
408	34338	49618
409	34415	49525
410	34510	49456
411	34588	49364
412	34682	49294
413	34771	49217
414	34854	49132
415	34923	49027
416	34999	48931
417	35082	48846
418	35157	48751
419	35233	48655
420	35311	48563
421	35391	48474
422	35465	48376
423	35540	48282
424	35617	48188
425	35696	48098
426	35764	47993
427	35843	47902
428	35926	47818
429	36005	47728
430	36080	47632
431	36182	47572
432	36262	47484
433	36343	47397
434	36432	47320
435	36522	47245
436	36604	47158
437	36699	47089
438	36801	47028
439	36927	46998
440	37034	46943
441	37147	46897
442	37269	46860
443	37383	46813
444	37496	46764
445	37605	46711
446	37708	46650
447	37811	46588
448	37918	46532
449	38035	46487
450	38154	46444
451	38270	46398
452	38384	46349
453	38502	46304
454	38630	46272
455	38753	46231
456	38856	46168
457	38965	46111
458	39074	46054
459	39194	46010
460	39313	45965
461	39429	45915
462	39544	45864
463	39666	45822
464	39821	45816
465	39953	45783
466	40146	45820
467	40265	45772
468	40372	45709
469	40476	45643
470	40591	45589
471	40706	45536
472	40821	45482
473	40930	45420
474	41035	45354
475	41146	45295
476	41256	45235
477	41380	45189
